,publisher,scores,total,avg_score
50,Circle Entertainment,"[5.0, 6.0, 7.0, 7.0, 7.5, 7.5, 7.5, 8.5, 8.5, 8.7, 8.0]",11,7.381818181818182
51,Io Interactive,[9.0],1,9.0
52,Synergenix,"[8.7, 5.5, 7.7, 7.7, 6.7, 6.7, 6.7, 7.0, 6.8, 7.0]",10,7.05
53,GameProm,[5.5],1,5.5
54,Bloober Team,"[3.0, 8.8, 4.0, 8.0, 8.0]",5,6.36
55,FarSight Studios,"[4.0, 5.5, 9.0, 8.5, 8.5, 8.5]",6,7.333333333333333
56,Kiss,[3.0],1,3.0
57,Naxat Soft,"[5.5, 3.0, 2.0]",3,3.5
58,Game Arts,"[9.0, 8.0]",2,8.5
59,Zenat Design,[5.0],1,5.0
60,Studio Wildcard,[7.7],1,7.7
61,Gamenauts,[8.0],1,8.0
62,NovaLogic,"[6.9, 8.9, 7.5, 7.4, 8.6, 8.7, 7.5, 6.8, 5.5, 7.3, 6.0, 4.8, 8.4, 8.3, 7.6, 8.4]",16,7.4125
63,Longbow Digital Arts,[6.9],1,6.9
64,Datasoft,"[8.0, 5.0, 7.0]",3,6.666666666666667
65,Legendo,"[4.6, 5.5, 7.0, 5.1]",4,5.550000000000001
66,Method Solutions,[7.0],1,7.0
67,Watara Industries Limited,[6.9],1,6.9
68,HyperX,"[9.5, 7.5]",2,8.5
69,MGame Corporation,[9.0],1,9.0
70,Alien Trap,"[6.9, 8.5]",2,7.7
71,Zoo Corporation,[4.0],1,4.0
72,ProSIM,[4.0],1,4.0
73,Computer West,[9.0],1,9.0
74,Imagineer,"[8.3, 7.0, 6.5, 6.5, 3.5, 7.0, 8.0, 8.5]",8,6.9125
75,B. Schick,[4.0],1,4.0
76,Other Ocean Interactive,"[7.5, 7.0, 6.0, 4.0, 4.0]",5,5.7
77,CyberConnect2,[8.0],1,8.0
78,Game Factory,"[3.0, 3.0, 3.0, 2.5, 6.5, 6.0, 5.8, 3.4, 5.5, 4.8, 4.8, 5.5, 6.5, 3.0, 7.0, 4.5, 7.0, 3.0, 3.8, 2.5, 4.0, 5.0, 7.0, 6.5, 5.0, 5.1, 6.0, 6.6]",28,4.867857142857142
79,A Crowd of Monsters,[4.0],1,4.0
80,Dark Vale Games,[7.0],1,7.0
81,Data Becker,"[4.5, 5.1, 4.3]",3,4.633333333333333
82,Data East,"[6.0, 7.5, 7.0, 2.0, 7.0, 7.7, 8.5, 5.0, 7.2, 6.5, 7.5, 9.0, 4.9, 5.0, 5.6, 7.0, 5.0, 4.5, 6.0, 5.0]",20,6.195
83,Signal Studios,[8.0],1,8.0
84,Gamedoctors,[8.0],1,8.0
85,Activision Blizzard,"[9.4, 10.0, 7.0, 8.0, 8.0]",5,8.48
86,Crowbar Collective,[8.0],1,8.0
87,Irem Software Engineering,"[5.0, 8.8, 6.5, 8.0, 8.0, 6.7, 7.5, 7.3, 8.3, 6.5, 5.0, 7.5, 2.5, 6.0, 7.0, 6.5, 6.5]",17,6.68235294117647
88,Proletariat Inc.,[8.0],1,8.0
89,Overloaded Pocket Media,"[8.0, 6.0]",2,7.0
90,Infinite Ventures,"[4.0, 6.0, 5.8]",3,5.266666666666667
91,Id Software,"[5.0, 8.0, 8.9, 7.0, 8.0, 8.1, 8.5, 7.0, 5.0, 3.7, 8.0, 7.5, 5.0, 7.3, 8.0, 8.0]",16,7.0625
92,Uncanny Games,[7.5],1,7.5
93,ScrewAttack Entertainment,[7.5],1,7.5
94,Backflip Studios,[7.5],1,7.5
95,The Digital Lounge,"[4.0, 9.0, 8.5]",3,7.166666666666667
96,Trimark Interactive,[3.0],1,3.0
97,Amanita Design,"[9.0, 8.0, 8.1, 8.5]",4,8.4
98,ITE - Interactive Television Entertainment,[6.5],1,6.5
99,Success,"[7.0, 7.4, 6.0, 6.9, 7.0, 2.0, 2.5, 7.3, 6.0, 2.5, 6.8, 8.0, 5.5, 7.7, 7.0]",15,5.973333333333334
100,Atakama Labs,"[8.5, 8.0]",2,8.25
101,Judobaby,"[7.0, 8.0]",2,7.5
102,Parsec Productions,[6.5],1,6.5
103,Vaporware Labs,[5.5],1,5.5
104,Eighty Eight Games,[7.5],1,7.5
105,Pangea Software,"[7.0, 7.5, 8.0, 7.0, 5.6, 7.0, 7.0]",7,7.014285714285714
106,Dreamatrix,[2.8],1,2.8
107,Flatout Games,[8.0],1,8.0
108,Digital Leisure,"[8.0, 7.0, 2.0, 1.0, 8.0, 7.2, 7.0, 9.0, 4.5, 6.5, 6.0, 3.0, 8.0, 3.0, 4.5, 5.1, 2.5, 3.0, 5.0, 4.5]",20,5.24
109,GCE,"[5.0, 7.5, 4.5]",3,5.666666666666667
110,Bohemia Interactive,"[7.0, 3.5]",2,5.25
111,Fatshark,[7.0],1,7.0
112,Resolution Interactive,[6.9],1,6.9
113,Sierra Sports,"[7.8, 7.9, 8.9, 7.7, 5.0, 8.0]",6,7.550000000000001
114,Pack-in-Video,[8.5],1,8.5
115,Topo Soft,[2.0],1,2.0
116,Red Storm Entertainment,"[7.9, 7.0, 7.8, 4.9, 5.0, 8.5, 9.4, 3.8, 6.4, 8.6, 7.8, 9.2, 8.0, 5.2, 8.4, 8.0, 4.5]",17,7.08235294117647
117,Wicked Software,[8.0],1,8.0
118,RebelPlay,"[6.0, 5.5]",2,5.75
119,Heatwave Interactive,[4.0],1,4.0
