,publisher,scores,total,avg_score
474,Triternion,[8.2],1,8.2
475,MacSoft,"[6.8, 6.0, 9.0, 6.0, 6.5, 7.6, 2.9, 5.5, 4.8, 4.8, 8.8, 9.3, 8.0, 9.0, 8.0, 6.8, 6.8, 9.7, 8.9, 7.9, 8.5, 8.5, 8.4, 8.4, 8.0, 7.4, 7.0, 9.2, 9.3, 8.1, 8.9, 6.0, 5.0, 7.5, 8.7, 8.6, 9.0, 8.6, 7.7, 6.8, 7.0, 6.9, 8.0, 4.5, 3.0, 8.2, 8.9, 8.3, 9.2, 4.0, 7.8, 7.0, 8.7, 8.7, 2.4, 9.0, 9.6, 9.4, 9.6, 8.4, 9.4, 9.4, 7.0, 6.9, 7.5]",65,7.561538461538461
476,Deep Fried Entertainment,[7.5],1,7.5
477,Acquire,"[5.1, 6.5, 7.0, 6.0, 5.5]",5,6.0200000000000005
478,Secret Base,[8.0],1,8.0
479,Zoo Games,"[8.5, 4.5, 2.1, 3.4, 2.0, 2.0, 4.0, 3.5, 3.5, 7.6, 7.5, 7.7, 2.0, 2.5, 5.5, 7.7, 7.0, 6.3, 7.3, 4.8, 4.0, 4.0, 7.7]",23,5.004347826086956
480,Playdead,"[10.0, 9.0, 9.0, 9.0, 9.0]",5,9.2
481,Namco Hometek,"[7.5, 7.5]",2,7.5
482,Snail Game,[7.0],1,7.0
483,Forty Five,"[7.5, 7.0]",2,7.25
484,ATOD AB,[5.0],1,5.0
485,Nikko Europe,"[8.5, 8.5, 8.5, 8.0]",4,8.375
486,Meridiem,[6.2],1,6.2
487,Taito,"[4.5, 7.4, 8.0, 8.5, 6.5, 2.0, 7.5, 7.9, 8.0, 7.5, 3.5, 7.5, 6.4, 8.8, 7.0, 5.3, 7.8, 7.0, 7.1, 7.9, 4.5, 5.0, 5.8, 7.3, 7.0, 6.0, 5.5, 5.1, 2.5, 5.0, 5.5, 5.6, 6.4, 6.0, 6.0, 6.8, 6.5, 7.5, 6.5, 7.6, 6.0, 5.0, 4.7, 5.4, 3.5, 3.0, 3.5, 4.9, 6.8, 9.5, 2.0, 4.0, 6.1, 5.8, 6.5, 6.5, 4.5, 7.0, 6.5, 2.0, 5.0, 6.9, 9.2, 2.2, 7.0, 8.0, 6.5, 7.4, 5.0, 7.2, 8.1, 7.5, 6.5, 6.0, 7.8, 8.1, 7.0, 8.0, 8.5, 7.9, 9.0, 5.9, 8.0, 8.0, 8.7, 6.4, 4.0, 5.0, 4.0, 7.0, 8.8, 7.4, 7.5, 3.5, 7.6, 7.8, 2.0, 7.0, 5.0, 3.0, 7.8]",101,6.243564356435643
488,Yullaby,"[5.0, 7.5, 7.5]",3,6.666666666666667
489,Zoozen,[1.0],1,1.0
490,Hasbro Toys,[8.0],1,8.0
491,Orthogonal Games,[6.5],1,6.5
492,U.S. Gold,"[7.5, 7.0, 6.0, 5.0, 8.0, 8.5, 8.0, 6.5, 6.0, 8.2, 5.5, 6.0, 6.8, 5.0, 4.5, 6.0, 6.0, 5.5, 7.0, 6.0, 7.0, 7.5, 8.5, 8.0, 6.5, 7.5, 5.0, 4.0]",28,6.535714285714286
493,Atypical Games,[7.1],1,7.1
494,ND Games,"[6.5, 7.9]",2,7.2
495,Tomorrow Corporation,[5.0],1,5.0
496,LJN,[7.0],1,7.0
497,Sold Out,[8.1],1,8.1
498,Cowboy Rodeo,[6.8],1,6.8
499,Humble Games,[8.0],1,8.0
500,CI Games,"[6.7, 4.5, 5.0, 7.5, 3.0, 4.7, 7.4, 6.0, 3.0, 5.0, 5.5, 6.0, 7.3, 4.5, 5.0, 7.0]",16,5.50625
501,iam8bit,[9.0],1,9.0
502,Pitrasoft,"[8.0, 3.0]",2,5.5
503,BEC,"[7.0, 7.0]",2,7.0
504,Seismic Inc.,[8.5],1,8.5
505,Four Corners Development Group,[6.0],1,6.0
506,Neverland,[8.7],1,8.7
507,FreakZone,[6.0],1,6.0
508,Level-5,"[6.2, 7.5, 9.4, 8.5, 8.0, 8.5, 9.0, 8.5, 8.5, 8.4, 8.5, 5.3, 7.2]",13,7.961538461538462
509,Kixx,"[5.5, 7.4, 7.5]",3,6.8
510,17-BIT,"[8.3, 7.0]",2,7.65
511,Coktel Vision,[4.0],1,4.0
512,Tycoon Games,[3.0],1,3.0
513,MagicalTimeBean,[8.0],1,8.0
514,Tiger Style,"[8.5, 8.9, 6.5]",3,7.966666666666666
515,Flying Wild Hog,[7.5],1,7.5
516,Tommo,"[4.5, 4.0, 7.2, 7.3, 7.0, 6.7, 4.5]",7,5.885714285714286
517,Break Media,[7.0],1,7.0
518,Hazardous Software,[5.0],1,5.0
519,Simogo,"[9.0, 9.0, 9.5, 8.0]",4,8.875
520,Warhorse Studios,[7.5],1,7.5
521,Seika,[8.5],1,8.5
522,Motorsims,[4.5],1,4.5
523,Synapse Software (Synsoft),"[7.0, 4.0]",2,5.5
524,Rocketcat Games,"[7.5, 9.3]",2,8.4
525,Spiral Game Studios,[2.0],1,2.0
526,Eurocenter,"[8.0, 8.4]",2,8.2
527,Coyote,[3.0],1,3.0
528,Culture Brain,[5.0],1,5.0
529,D3 Publisher,"[3.5, 8.5, 4.0, 8.5, 8.1, 4.0, 4.0, 4.0, 5.8, 6.7, 7.0, 7.8, 8.0, 6.5, 2.5, 2.5, 5.9, 6.7, 7.7, 7.7, 7.7, 8.3, 5.6, 6.0, 7.5, 6.5, 8.3, 7.5, 7.5, 7.5, 7.2, 5.2, 4.0, 6.3, 4.0, 4.0, 5.0, 4.0, 6.5, 6.5, 3.5, 7.6, 6.8, 9.1, 7.9, 7.9, 6.5, 2.1, 7.8, 8.2, 8.2, 8.4, 6.5, 5.0, 7.2, 6.5, 3.0, 6.9, 7.8, 8.0, 7.4, 8.0, 8.5, 8.5, 9.0, 9.3, 7.8, 8.9, 8.4, 8.5, 8.5, 8.5, 7.2, 9.0, 8.6, 8.5, 7.0, 6.2, 8.2, 5.0, 8.5, 6.5, 6.9, 6.9, 6.3, 6.9, 8.0, 6.4]",88,6.781818181818181
530,Encore Software (2),"[4.5, 5.0, 5.5, 7.0, 7.0, 4.0, 7.0, 6.7, 5.0]",9,5.7444444444444445
531,Vblank Entertainment Inc.,[5.3],1,5.3
532,Takara Tomy,[8.0],1,8.0
533,Sony Interactive Entertainment,"[8.0, 8.7, 9.0, 6.0, 5.9, 7.5, 8.0, 9.0, 9.0, 7.2, 9.0, 7.0, 9.0, 8.0, 7.8, 7.0, 6.5, 9.5, 8.5, 8.7, 8.0, 9.6, 9.0, 6.8, 8.8, 9.2, 8.0, 5.0, 9.0, 8.0, 8.0, 8.7]",32,8.04375
534,Avantage,[8.0],1,8.0
535,Mad Catz,"[2.7, 7.9, 7.9, 8.8, 7.0]",5,6.859999999999999
536,Marvel Mobile,[7.5],1,7.5
537,Plus+,"[7.8, 8.0]",2,7.9
538,BBC Multimedia,[5.5],1,5.5
539,Miniclip.com,"[7.0, 8.0]",2,7.5
540,Dinamic Multimedia,[2.5],1,2.5
541,FoxNext Games,"[7.0, 3.0]",2,5.0
542,Microsoft,"[6.0, 8.2, 8.8, 8.0, 8.2, 8.8, 8.2, 7.0, 7.0, 9.3, 8.9, 8.5, 8.2, 8.2, 6.4, 9.0, 8.4, 6.9, 8.0, 8.3, 6.5, 9.6, 8.0, 8.0, 7.0, 6.0, 5.7, 8.0, 9.0, 8.2, 7.3, 6.9, 5.0, 4.0, 5.0, 8.8, 7.0, 9.0, 8.0, 5.5, 4.5, 5.0, 8.0, 8.9, 7.0, 8.1, 8.0, 7.2, 7.0, 9.0, 4.5, 8.5, 8.5, 7.0, 8.5, 9.3, 8.0, 5.0, 9.2, 8.5, 6.0, 8.0, 8.0, 4.5, 8.8, 8.4, 8.8, 6.4, 8.8, 6.0, 9.5, 7.2, 8.7, 8.6, 9.0, 8.2, 6.5, 9.0, 8.9, 9.0, 9.5, 8.7, 7.8, 9.6, 9.0, 9.5, 9.4, 9.4, 9.5, 8.8, 9.0, 9.2, 9.2, 4.5, 8.3, 6.0, 5.1, 8.9, 7.8, 9.5, 9.5, 9.2, 7.5, 9.0, 9.5, 6.1, 9.2, 8.7, 9.4, 7.6, 8.5, 7.6, 8.2, 6.0, 8.4, 7.3, 7.0, 6.0, 8.8, 8.0, 9.8, 9.0, 6.9, 7.4, 7.5, 9.8, 9.5, 8.9, 9.5, 7.7, 9.5, 9.5, 9.0, 8.2, 7.3, 9.0, 9.0, 9.0, 9.5, 9.5, 9.5, 10.0, 9.7, 9.0, 9.5, 7.0, 9.0, 8.4, 8.4, 8.2, 4.0, 7.5, 8.3, 7.1, 8.4, 5.0, 4.5, 4.5, 9.9, 8.6, 8.0, 6.2, 8.4, 8.4, 6.5, 8.5, 7.0, 6.0, 6.0, 8.0, 6.5, 5.5, 5.8, 8.5, 8.2, 6.3, 8.0, 8.5, 8.6, 7.5, 5.3, 8.2, 7.5, 6.8, 6.4, 8.0, 8.0, 8.2, 9.0, 9.4, 5.0, 9.0, 9.4, 9.2, 9.1, 9.2, 8.9, 8.2, 8.6, 6.0, 5.5, 9.1, 9.0, 7.0, 7.9, 5.0, 4.0, 9.0, 7.0, 7.4, 7.7, 7.6, 5.2, 8.4, 8.5, 6.6, 8.6, 8.7, 7.0, 5.2, 8.0, 8.6, 8.4, 4.0, 7.7, 5.6, 5.0, 6.5, 8.7, 8.2, 8.0, 7.9, 7.7, 7.5, 6.5, 7.3, 6.5, 8.0, 8.7, 1.5, 7.4, 9.0, 8.2, 7.6, 7.0, 9.8, 9.0, 8.4, 8.5, 7.0, 8.8, 9.5, 8.8, 8.1, 9.1, 8.0, 5.9, 8.6, 8.7, 8.7, 7.0, 8.0, 6.2, 8.0, 9.2, 9.2, 7.3, 8.0, 8.0, 6.0, 7.5, 8.2, 8.2, 8.9, 9.3, 9.3, 3.0, 8.4, 6.8, 7.0, 8.0, 7.0, 7.8, 7.0, 8.0, 7.9, 5.5, 6.8, 8.3, 7.0, 2.0, 6.7, 6.7, 9.0, 7.0, 7.0, 8.8, 9.2, 7.5, 8.9, 8.9, 5.0, 7.8, 8.0, 6.0, 6.5, 5.0, 8.7, 5.2, 7.3, 7.5, 8.0, 6.5, 7.8, 7.5, 7.4, 9.3, 8.6, 8.0, 8.0, 9.0, 8.3, 7.7, 7.0, 6.0, 6.8, 3.0, 2.9, 9.0, 8.2, 4.9, 5.6, 8.2, 8.5, 8.6, 8.5, 7.6, 7.2, 8.0, 6.6, 6.5, 8.5, 9.0, 7.0, 8.0, 8.0, 5.3, 6.9, 3.5, 6.5, 7.5, 7.0]",352,7.674715909090909
543,Working Designs,"[7.0, 8.5, 8.8, 8.3, 8.6, 8.4, 8.0, 8.2, 7.5, 8.1, 7.5, 8.9, 8.3, 8.5, 6.5, 6.0]",16,7.94375
544,Logitech,"[8.7, 7.5, 8.5]",3,8.233333333333333
545,Code Monkeys,"[4.0, 6.5, 2.0]",3,4.166666666666667
546,White Pool,"[3.5, 2.0]",2,2.75
547,Adult Swim Games,[8.0],1,8.0
548,responDESIGN,"[6.6, 8.2]",2,7.3999999999999995
549,Gameloft,"[8.0, 7.5, 4.5, 7.4, 6.5, 9.0, 3.8, 7.9, 8.0, 7.8, 9.0, 8.0, 8.0, 7.5, 8.0, 7.8, 8.0, 7.5, 8.7, 7.0, 8.0, 8.3, 8.0, 6.0, 7.0, 7.8, 4.5, 7.8, 4.0, 4.0, 4.0, 8.1, 7.5, 7.5, 7.7, 8.5, 8.0, 7.5, 7.5, 8.0, 7.9, 7.2, 7.2, 7.5, 7.2, 7.2, 8.3, 7.7, 9.5, 7.5, 8.8, 5.0, 8.2, 6.0, 7.2, 8.5, 7.5, 8.5, 7.2, 7.9, 9.0, 9.0, 7.8, 5.0, 6.0, 7.0, 8.5, 5.0, 8.9, 8.0, 8.5, 9.2, 7.5, 8.2, 7.2, 7.5, 5.0, 9.7, 8.9, 6.0, 8.0, 7.0, 5.5, 5.5, 6.0, 7.9, 7.0, 7.0, 5.5, 6.9, 6.0, 8.0, 9.1, 7.5, 8.9, 8.4, 7.3, 7.0, 5.0, 7.4, 7.5, 7.9, 7.5, 9.2, 7.2, 9.1, 9.0, 7.7, 8.0, 8.5, 7.5, 7.4, 8.0, 6.5, 7.5, 9.0, 7.9, 6.0, 5.6, 6.2, 6.0, 6.6, 8.9, 7.0, 9.0, 9.0, 7.5, 7.4, 8.0, 5.0, 7.0, 6.7, 6.5, 8.0, 8.6, 8.8, 6.8, 7.5, 6.8, 6.8, 8.0, 9.0, 8.6, 4.0, 8.5, 4.9, 7.9, 8.9, 7.5, 7.0, 9.1, 9.0, 8.5, 8.5, 7.8, 8.3, 7.0, 7.8, 8.5, 8.8, 7.5, 5.5, 6.5, 8.0, 8.5, 8.5, 6.5, 9.0, 6.3, 6.0, 6.0, 6.0, 6.0, 6.3, 7.0, 6.0, 7.3, 7.5, 7.0, 8.5, 7.0, 9.0, 8.0, 7.5, 8.5, 8.6, 8.6, 8.0, 9.5, 8.0, 6.9, 7.7, 8.5, 8.6, 6.5, 9.4, 9.3, 8.4, 9.2, 9.6, 5.5, 9.0, 8.0, 8.5, 8.0, 7.5, 8.1, 8.1, 6.8, 7.0, 7.0, 7.9, 7.5, 7.2, 8.5, 8.0, 8.0, 8.0, 6.9, 5.2, 8.5, 6.0, 7.3, 7.3, 7.5, 8.0, 8.5, 7.9, 7.5, 6.5, 8.5, 8.0, 7.9, 7.2, 8.5, 9.0, 9.0, 8.8, 8.0, 7.0, 7.4, 7.9, 9.5, 9.0, 7.0, 6.0, 6.5, 7.5, 5.5, 6.2, 7.8, 6.2, 7.0, 7.0, 6.5, 6.5, 4.5, 5.5, 3.0, 3.5, 4.5, 7.0, 8.5, 8.0, 8.0, 6.0, 8.3, 7.5, 6.7, 6.7, 7.9, 6.8, 6.5, 9.5, 7.9, 7.6, 5.5, 8.7, 8.8, 8.5, 8.0, 7.8, 7.8, 5.8, 6.4, 7.5, 8.0, 8.0, 8.1, 8.9, 7.8, 7.0, 7.2, 6.8, 9.0, 7.9, 8.5, 7.0]",298,7.462416107382551
550,3D Realms,"[6.9, 7.9, 8.5, 7.5, 9.3, 8.1, 8.9, 6.0]",8,7.887499999999999
551,Buena Vista Games,"[6.5, 6.0, 7.0, 7.5, 7.6, 7.8, 7.5, 8.2, 7.0, 7.6, 8.1, 7.6, 6.5, 4.0, 5.5, 9.0, 7.0, 6.0, 7.9, 6.0, 7.0, 7.5, 7.4, 7.2, 8.3, 8.3, 8.3, 8.3, 4.0, 5.0, 6.0, 6.0]",32,6.987500000000001
552,Eidos Interactive,"[7.0, 6.0, 7.0, 3.1, 7.5, 7.2, 5.0, 7.8, 7.8, 7.9, 8.0, 6.0, 5.8, 4.5, 4.5, 5.6, 6.5, 8.7, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.3, 9.2, 9.5, 9.0, 9.5, 9.5, 8.2, 8.5, 8.5, 7.7, 7.1, 8.0, 5.0, 8.0, 7.9, 7.9, 7.1, 7.7, 7.0, 7.4, 8.5, 5.0, 4.2, 7.1, 7.2, 8.0, 6.0, 7.0, 7.2, 7.1, 7.7, 8.0, 7.0, 7.0, 9.0, 8.9, 8.2, 7.9, 7.5, 7.5, 4.0, 4.0, 4.0, 5.5, 5.5, 7.0, 6.2, 5.8, 4.0, 7.1, 7.4, 5.0, 4.7, 9.4, 9.4, 9.0, 9.0, 6.3, 7.9, 8.9, 6.5, 6.4, 6.4, 6.4, 7.0, 6.3, 4.0, 9.0, 3.5, 8.6, 8.3, 8.3, 8.0, 8.9, 6.9, 5.5, 3.0, 3.6, 6.4, 9.5, 8.2, 7.0, 3.5, 3.5, 3.5, 3.5, 8.5, 5.7, 6.8, 7.5, 5.5, 6.0, 8.0, 5.8, 8.1, 6.0, 5.7, 7.5, 8.7, 8.4, 8.4, 8.4, 9.0, 8.0, 5.5, 7.5, 8.4, 8.4, 8.4, 8.5, 5.0, 4.0, 5.1, 6.6, 6.8, 8.7, 8.8, 8.4, 8.8, 6.8, 6.8, 5.5, 6.8, 6.0, 6.4, 6.4, 4.4, 8.0, 7.0, 7.0, 7.0, 6.5, 7.0, 7.0, 7.0, 7.0, 7.8, 7.8, 7.6, 8.0, 8.0, 9.3, 9.2, 9.1, 7.5, 8.0, 7.8, 8.0, 8.0, 6.8, 7.7, 6.5, 8.0, 7.6, 8.0, 8.0, 4.0, 7.5, 7.9, 8.8, 8.0, 9.3, 9.3, 6.5, 5.0, 6.0, 6.7, 8.5, 6.6, 5.5, 6.6, 6.0, 4.0, 7.0, 7.0, 8.9, 7.0, 7.8, 9.0, 7.0, 8.8, 8.8, 8.0, 5.0, 7.7, 7.2, 7.5, 7.5, 3.0, 7.5, 8.3, 8.0, 8.0, 8.0, 8.1, 5.1, 2.0, 2.0, 7.0, 4.6, 5.8, 7.0, 5.0, 8.0, 8.4, 8.8, 9.0, 7.8, 5.0, 4.8, 4.8, 4.8, 9.0, 5.0, 6.9, 8.0, 6.4, 5.0, 6.8, 6.8, 8.3, 8.6, 9.0, 8.9, 7.0, 3.8, 8.6, 9.1, 9.1, 5.5, 4.5, 9.3, 5.3, 7.0, 8.7, 6.5, 5.8, 6.3, 8.0, 8.0, 7.7, 7.2, 8.2, 8.2, 8.0, 8.2, 6.1, 8.0, 7.0, 5.5, 7.0, 5.3, 7.0, 3.0, 8.5, 8.0, 7.5, 7.9, 5.0, 8.0, 6.5, 7.2, 4.0, 7.5, 8.0, 7.4, 8.5, 6.9, 8.3, 8.0, 8.0, 4.5, 6.8, 8.7, 7.9, 4.0, 4.2, 4.0, 7.5, 8.0, 7.5, 7.1, 7.0, 7.0, 5.0]",309,7.044983818770227
553,Blackpowder Games,[5.0],1,5.0
554,Humongous,"[2.0, 2.1, 4.5, 5.5]",4,3.525
555,Ertain,"[1.0, 1.0, 6.2, 6.8]",4,3.75
556,Aeria Games & Entertainment,"[5.6, 4.0]",2,4.8
557,G3 Studios,"[8.0, 7.0]",2,7.5
558,Gevo Entertainment,"[8.5, 7.0]",2,7.75
559,TalonSoft,"[7.8, 7.3, 6.1, 7.0, 6.2, 7.6, 6.4, 8.5, 6.0, 7.9, 7.3, 8.6, 9.0, 7.7, 6.6, 6.9, 7.0]",17,7.288235294117648
560,Finji Games,"[9.0, 8.7, 7.5]",3,8.4
561,Bit Logik,"[8.5, 8.5]",2,8.5
562,ngmoco,"[8.2, 7.5, 7.4, 8.0, 9.0, 9.5, 9.0, 5.5, 7.8, 8.5, 7.5, 7.5, 6.0, 7.5]",14,7.778571428571428
563,Pinkerton Road,[7.0],1,7.0
564,Paper Cult,[8.0],1,8.0
565,Domark Software,"[8.5, 8.0, 6.0, 5.0, 3.0, 8.0]",6,6.416666666666667
566,Straandlooper,"[8.5, 7.5, 7.5, 7.5, 8.0]",5,7.8
567,Graffiti Games,[8.0],1,8.0
568,Williams Entertainment Inc.,"[8.9, 7.0, 2.0, 7.5, 7.0, 2.0, 5.5, 7.1, 5.0, 8.0, 8.9, 7.0, 8.1, 7.0, 7.0, 7.5, 6.1, 5.0, 7.8, 7.3, 6.0, 4.1, 8.0, 6.0, 6.0, 7.0, 4.0, 5.4, 7.0, 7.5, 8.0, 7.0, 4.3, 4.0, 5.8, 7.0]",36,6.355555555555557
569,Cold Beam Games,"[7.6, 5.0]",2,6.3
570,Secret Stash Games,"[4.0, 8.0, 7.9, 5.0]",4,6.225
571,Fabtek,"[5.5, 7.0]",2,6.25
572,Sierra Attractions,"[8.0, 5.0, 7.9, 8.0, 7.2, 8.8, 8.2, 8.2]",8,7.6625
573,Phoenix Labs,[8.5],1,8.5
574,The Games Company,"[6.9, 7.2, 7.3]",3,7.133333333333334
575,Wales Interactive,[6.2],1,6.2
576,Plan_B Media,"[8.5, 8.8]",2,8.65
577,Bitfield,[6.0],1,6.0
578,Turtle Games,[2.5],1,2.5
579,Technos,"[5.0, 5.5, 5.6, 4.0]",4,5.025
580,WXP Inc.,[3.0],1,3.0
581,Apple,"[7.0, 8.0, 7.0, 8.0, 8.5, 7.3, 8.5, 7.5]",8,7.725
582,Acclaim Entertainment,"[7.8, 5.5, 6.7, 5.0, 9.1, 9.4, 7.0, 9.1, 7.3, 8.0, 9.0, 6.0, 6.0, 9.1, 8.4, 6.8, 7.8, 8.9, 8.3, 8.9, 8.1, 8.0, 8.0, 8.0, 8.0, 7.9, 5.0, 8.2, 8.9, 3.5, 7.0, 5.8, 3.0, 5.5, 6.6, 6.8, 6.5, 5.0, 5.0, 6.0, 6.1, 6.0, 6.8, 6.8, 8.6, 7.6, 7.8, 9.0, 8.5, 8.6, 8.0, 8.0, 7.5, 6.4, 8.8, 7.0, 7.0, 8.2, 8.0, 6.9, 9.6, 7.1, 6.0, 7.1, 1.0, 6.0, 7.0, 6.2, 7.0, 8.0, 8.6, 6.5, 8.4, 8.0, 6.9, 8.0, 8.0, 5.5, 8.9, 9.4, 8.7, 6.0, 2.7, 5.7, 7.6, 7.8, 6.5, 3.8, 4.0, 3.0, 5.0, 6.9, 6.9, 7.9, 9.2, 9.0, 1.0, 7.8, 8.0, 8.5, 8.0, 6.0, 3.0, 4.5, 8.3, 8.3, 4.5, 8.0, 8.0, 3.0, 8.4, 9.0, 6.9, 4.0, 3.0, 4.9, 4.0, 4.9, 7.0, 4.0, 5.0, 3.8, 5.0, 2.0, 2.0, 2.0, 4.9, 5.4, 7.0, 2.0, 6.8, 6.9, 6.9, 7.2, 2.4, 2.4, 4.0, 7.0, 5.0, 5.0, 7.0, 6.0, 4.0, 6.0, 4.0, 5.0, 7.8, 7.3, 8.5, 7.5, 4.0, 4.0, 5.4, 7.0, 7.1, 3.0, 2.0, 3.0, 7.9, 6.5, 6.0, 5.8, 5.4, 6.0, 2.0, 5.8, 3.0, 5.0, 7.8, 8.4, 7.4, 7.0, 6.0, 7.8, 2.5, 6.9, 6.0, 9.2, 7.4, 5.0, 8.4, 7.8, 2.5, 8.7, 8.8, 4.8, 6.1, 1.0, 2.0, 7.0, 8.5, 8.0, 4.0, 7.7, 8.5, 9.1, 5.9, 5.0, 7.6, 4.5, 2.0, 4.3, 5.5, 2.1, 5.3, 6.2, 5.7, 4.9, 3.0, 4.2, 5.5, 2.2, 7.0, 6.4, 7.0, 8.8, 3.6, 3.6, 7.8, 9.6, 3.0, 6.5, 6.9, 8.8, 8.5, 6.0, 7.0, 5.0, 9.0, 8.0, 7.4, 8.6, 8.0, 7.1, 8.9, 7.0, 8.6, 4.5, 7.2, 7.4, 7.6, 4.0, 6.2, 7.0, 6.8, 7.0, 7.5, 8.3, 8.7, 8.0, 8.5, 8.0, 7.0, 5.5, 8.4, 8.5, 7.5, 7.5, 7.5, 3.5, 5.9, 8.5, 5.3, 7.8]",264,6.416666666666667
583,Simple Machine,[7.5],1,7.5
584,Creat Studios,"[5.0, 6.0, 9.0, 7.9, 7.5, 7.5, 5.2, 8.0, 7.0, 5.5, 8.0, 5.0]",12,6.8
585,Blitz Arcade,"[6.0, 6.5]",2,6.25
586,Mad Processor,[7.5],1,7.5
587,Digital Jesters,"[7.0, 6.9, 8.0]",3,7.3
588,Super X Studios,[5.0],1,5.0
589,Indiagames,"[7.1, 7.8, 2.0, 6.8, 8.7, 7.0, 9.0, 7.4, 7.4, 7.6, 5.4]",11,6.927272727272728
590,JAST USA,[6.9],1,6.9
591,NeoWiz ,[8.0],1,8.0
592,Jet Set Games,[7.5],1,7.5
593,Upstart Games,"[8.0, 9.0, 7.5, 8.5, 4.5, 6.0, 5.5, 8.5, 7.0, 7.0, 8.0, 4.5, 8.3, 7.0, 6.4, 7.0, 7.0, 7.3, 3.5, 8.9, 5.5]",21,6.9
594,Hidden Path Entertainment,"[8.0, 8.9, 8.0, 6.4]",4,7.824999999999999
595,Squanch Games,[8.7],1,8.7
596,Playful Entertainment,"[8.0, 6.5, 8.5]",3,7.666666666666667
597,SkillGround,[6.5],1,6.5
598,Aterdux Entertainment,[7.3],1,7.3
599,Backabit,[7.0],1,7.0
600,KDDI America,[8.0],1,8.0
601,R & R Games,[7.0],1,7.0
602,Digital Dreams Games,[6.5],1,6.5
603,Tux Games,"[9.0, 9.6, 9.4, 9.6, 8.4]",5,9.2
604,2K Sports,"[7.6, 6.9, 6.0, 8.0, 7.4, 8.3, 8.3, 8.2, 7.3, 7.4, 8.0, 6.8, 5.8, 5.0, 8.5, 8.5, 6.7, 8.5, 8.8, 7.0, 7.0, 7.3, 7.3, 3.0, 7.5, 6.6, 6.6, 6.6, 7.0, 8.4, 8.4, 8.4, 3.0, 2.8, 7.5, 6.5, 8.5, 6.5, 5.5, 8.5, 7.9, 8.5, 8.5, 9.5, 8.0, 9.5, 8.0, 9.5, 9.1, 9.1, 8.9, 9.3, 7.8, 8.0, 8.0, 8.8, 8.7, 8.3, 8.8, 8.5, 8.7, 7.9, 7.5, 7.9, 8.5, 8.0, 7.0, 8.5, 8.0, 6.0, 6.7, 6.7, 8.0, 7.5, 6.5, 8.7, 7.5, 8.7, 8.3, 8.6, 8.9, 8.3, 8.5, 6.5, 8.0, 8.0, 6.8, 8.0, 5.8, 8.0, 6.3, 6.0, 4.0, 8.0, 8.0, 6.3, 7.0, 8.3, 7.0, 7.4, 9.3, 4.0, 6.0, 7.8, 7.0, 8.0, 8.0, 7.9, 7.0, 7.8, 8.0, 8.5, 8.5, 4.4, 4.4, 4.4, 7.0, 7.0, 7.0, 7.0, 7.9]",121,7.452892561983471
605,Glu Mobile,"[7.0, 8.8, 8.4, 8.2, 8.0, 6.6, 9.0, 7.0, 7.0, 7.0, 7.0, 9.0, 7.5, 7.4, 7.5, 6.5, 2.0, 8.0, 7.0, 6.5, 7.0, 6.0, 8.0, 8.9, 8.0, 6.5, 6.4, 6.4, 6.4, 4.5, 7.1, 7.8, 5.7, 4.6, 4.6, 6.5, 7.8, 7.9, 7.9, 7.5, 5.5, 5.0, 7.9, 6.5, 8.3, 6.5, 7.2, 7.5, 8.0, 9.0, 5.0, 7.5, 4.7, 4.6, 4.3, 4.7, 4.5, 5.5, 8.2, 7.0, 7.0, 7.0, 7.0, 7.5, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.7, 8.0, 8.0, 8.5, 7.0, 7.5, 7.7, 7.0, 8.2, 4.0, 6.8, 7.0, 9.1, 7.5, 7.5, 6.5, 6.8, 5.0, 5.0, 6.0, 6.0, 2.5, 2.5, 8.0, 8.5, 7.0, 8.0, 7.7, 7.5, 7.2, 8.0, 7.9, 7.5]",103,6.717475728155341
606,Frosch Media,[7.5],1,7.5
607,Main Street Publishing,"[8.5, 4.5, 6.0, 5.5]",4,6.125
608,Midnight City,"[9.0, 9.0, 7.8, 7.6, 3.0, 9.5, 6.5]",7,7.485714285714286
609,Koch Media,"[5.0, 7.5, 8.0, 6.5, 6.8, 5.8]",6,6.599999999999999
610,AMD,"[6.8, 8.0, 7.0, 7.0, 8.0, 7.6]",6,7.3999999999999995
611,MachineWorks Northwest,"[7.9, 8.5, 5.2, 4.0, 7.0]",5,6.519999999999999
612,Jaleco,"[4.5, 5.0, 7.0, 4.5, 7.0, 7.0, 7.0, 8.0, 5.0, 5.0, 6.9, 8.4, 6.5, 8.0, 8.0, 8.0, 6.7, 5.5, 6.5, 4.5, 3.0, 8.8, 4.0, 3.0, 8.5, 3.7, 5.0, 7.0, 1.9, 8.0, 9.0, 4.3, 4.0, 4.5, 8.3, 6.0, 5.0, 4.0, 2.8, 3.0, 2.0, 6.0, 7.0, 7.0, 5.0, 8.0]",46,5.821739130434783
613,Kabam,[5.5],1,5.5
614,Excalibur Electronics,[8.5],1,8.5
615,Insomniac Games,"[6.7, 8.0]",2,7.35
