1.00,0.17,1.34,5.82,8.59
1.00,0.17,1.34,5.89,8.65
1.00,0.17,1.34,6.05,8.82
1.00,0.17,1.33,5.83,8.57
1.00,0.17,1.34,5.84,8.59
3.81,0.67,4.93,18.05,27.70
3.81,0.67,4.93,17.97,27.63
3.81,0.67,5.39,19.66,29.80
3.81,0.67,5.05,18.92,28.71
3.81,0.67,4.94,18.62,28.30
15.15,2.82,20.10,78.19,116.54
15.12,2.79,19.08,70.01,107.28
15.14,2.91,19.14,69.54,107.00
15.17,2.74,18.99,69.60,106.76
15.12,2.81,19.24,70.41,107.84
90.67,24.06,71.04,280.14,466.20
90.56,24.03,71.62,275.49,462.00
91.00,24.19,71.77,282.26,469.50
90.91,24.20,71.45,278.11,464.96
90.68,24.39,71.95,281.98,469.29
346.72,41.00,109.60,358.45,856.07
346.38,42.23,109.41,374.37,872.67
346.68,40.68,109.72,398.06,895.43
346.66,41.43,110.66,330.52,829.57
345.90,40.98,109.92,365.30,862.39
1.37,0.17,1.33,5.72,8.84
1.37,0.17,1.33,6.03,9.16
1.37,0.17,1.33,6.03,9.15
1.37,0.17,1.35,6.44,9.61
1.37,0.17,1.33,4.68,7.80
5.30,0.66,4.89,18.05,29.16
5.29,0.66,4.91,18.32,29.44
5.29,0.66,4.91,16.27,27.39
5.30,0.67,5.21,20.53,31.98
5.30,0.66,4.92,18.35,29.49
21.08,2.89,19.16,69.65,113.04
21.09,2.89,19.01,70.03,113.28
21.08,2.96,19.18,70.56,114.07
21.08,2.84,19.22,70.05,113.45
21.10,2.90,19.25,70.17,113.70
116.87,24.72,72.07,273.16,487.11
116.81,24.41,71.46,259.60,472.56
116.93,24.43,71.52,283.70,496.86
116.85,24.42,71.15,276.69,489.39
116.71,24.39,71.40,279.77,492.56
411.32,41.45,109.23,408.86,971.17
408.88,41.95,109.49,329.23,889.84
407.14,41.20,110.32,390.50,949.46
410.73,41.06,110.86,328.79,891.75
409.65,41.08,109.56,336.65,897.23
