
 256 4: 267.000000

 256 4: 252.000000

 256 4: 257.000000

 256 4: 251.000000

 256 4: 253.000000

 512 4: 950.000000

 512 4: 914.000000

 512 4: 754.000000

 512 4: 745.000000

 512 4: 756.000000

 1024 4: 5196.000000

 1024 4: 5409.000000

 1024 4: 5355.000000

 1024 4: 5407.000000

 1024 4: 5320.000000

 2048 4: 16483.000000

 2048 4: 15110.000000

 2048 4: 14714.000000

 2048 4: 15295.000000

 2048 4: 15960.000000

 3072 4: 30288.000000

 3072 4: 30035.000000

 3072 4: 29943.000000

 3072 4: 30358.000000

 3072 4: 31362.000000

 256 8: 169.000000

 256 8: 165.000000

 256 8: 185.000000

 256 8: 166.000000

 256 8: 188.000000

 512 8: 624.000000

 512 8: 730.000000

 512 8: 635.000000

 512 8: 737.000000

 512 8: 721.000000

 1024 8: 3715.000000

 1024 8: 3676.000000

 1024 8: 3734.000000

 1024 8: 3691.000000

 1024 8: 3610.000000

 2048 8: 12858.000000

 2048 8: 11483.000000

 2048 8: 11447.000000

 2048 8: 12858.000000

 2048 8: 12681.000000

 3072 8: 23261.000000

 3072 8: 22770.000000

 3072 8: 23143.000000

 3072 8: 23055.000000

 3072 8: 23064.000000

 256 16: 143.000000

 256 16: 154.000000

 256 16: 153.000000

 256 16: 155.000000

 256 16: 153.000000

 512 16: 593.000000

 512 16: 492.000000

 512 16: 498.000000

 512 16: 492.000000

 512 16: 498.000000

 1024 16: 2277.000000

 1024 16: 2221.000000

 1024 16: 2308.000000

 1024 16: 2237.000000

 1024 16: 2262.000000

 2048 16: 9723.000000

 2048 16: 9598.000000

 2048 16: 9558.000000

 2048 16: 9592.000000

 2048 16: 9364.000000

 3072 16: 19450.000000

 3072 16: 19454.000000

 3072 16: 19588.000000

 3072 16: 19501.000000

 3072 16: 19082.000000
