imagesize,convtime,magtime,supptime,sorttime,edgetime,hysttime,d2htime,hd2time
256, 0.109, 0.021, 0.026, 0.294, 0.016, 0.015, 0.077, 0.151
256, 0.107, 0.023, 0.026, 0.288, 0.016, 0.015, 0.075, 0.144
256, 0.108, 0.021, 0.026, 0.286, 0.016, 0.015, 0.083, 0.145
256, 0.106, 0.022, 0.026, 0.285, 0.016, 0.015, 0.075, 0.144
256, 0.106, 0.022, 0.026, 0.299, 0.016, 0.015, 0.076, 0.144
256, 0.107, 0.021, 0.026, 0.289, 0.016, 0.015, 0.077, 0.145
256, 0.118, 0.022, 0.027, 0.302, 0.017, 0.016, 0.084, 0.158
256, 0.112, 0.022, 0.028, 0.298, 0.017, 0.016, 0.085, 0.159
256, 0.107, 0.021, 0.027, 0.292, 0.016, 0.015, 0.078, 0.147
256, 0.110, 0.022, 0.029, 0.299, 0.016, 0.015, 0.083, 0.156
256, 0.113, 0.023, 0.028, 0.306, 0.017, 0.016, 0.095, 0.163
256, 0.106, 0.022, 0.026, 0.286, 0.016, 0.016, 0.078, 0.143
256, 0.109, 0.021, 0.027, 0.365, 0.016, 0.015, 0.078, 0.144
256, 0.110, 0.023, 0.027, 0.297, 0.017, 0.015, 0.093, 0.175
256, 0.108, 0.022, 0.026, 0.286, 0.016, 0.015, 0.077, 0.154
256, 0.107, 0.021, 0.026, 0.294, 0.016, 0.015, 0.077, 0.144
256, 0.107, 0.022, 0.026, 0.297, 0.017, 0.015, 0.077, 0.157
256, 0.104, 0.021, 0.034, 0.286, 0.016, 0.015, 0.078, 0.142
256, 0.101, 0.020, 0.026, 0.272, 0.016, 0.014, 0.066, 0.128
256, 0.109, 0.022, 0.026, 0.297, 0.016, 0.016, 0.081, 0.153
256, 0.107, 0.022, 0.027, 0.286, 0.016, 0.015, 0.078, 0.146
256, 0.108, 0.021, 0.026, 0.286, 0.016, 0.016, 0.078, 0.147
256, 0.108, 0.021, 0.026, 0.287, 0.016, 0.016, 0.079, 0.150
256, 0.107, 0.021, 0.027, 0.285, 0.015, 0.016, 0.076, 0.146
