imagesize,convtime,magtime,supptime,sorttime,edgetime,hysttime,d2htime,hd2time
256, 0.107, 0.039, 0.026, 0.287, 0.026, 0.022, 0.083, 0.145
256, 0.108, 0.039, 0.027, 0.287, 0.026, 0.022, 0.077, 0.148
256, 0.105, 0.038, 0.026, 0.283, 0.024, 0.021, 0.078, 0.144
256, 0.104, 0.039, 0.027, 0.285, 0.026, 0.021, 0.077, 0.165
256, 0.104, 0.037, 0.027, 0.283, 0.025, 0.021, 0.077, 0.149
256, 0.106, 0.039, 0.027, 0.285, 0.024, 0.022, 0.084, 0.142
256, 0.105, 0.038, 0.027, 0.281, 0.025, 0.022, 0.076, 0.151
256, 0.103, 0.039, 0.026, 0.286, 0.025, 0.022, 0.078, 0.144
256, 0.104, 0.039, 0.027, 0.283, 0.024, 0.022, 0.077, 0.148
256, 0.103, 0.039, 0.027, 0.283, 0.023, 0.023, 0.075, 0.150
256, 0.103, 0.036, 0.026, 0.282, 0.026, 0.021, 0.076, 0.145
256, 0.103, 0.039, 0.026, 0.284, 0.023, 0.022, 0.077, 0.146
256, 0.106, 0.038, 0.026, 0.286, 0.026, 0.021, 0.088, 0.152
256, 0.104, 0.039, 0.026, 0.282, 0.026, 0.021, 0.074, 0.144
256, 0.105, 0.039, 0.026, 0.284, 0.025, 0.021, 0.076, 0.144
256, 0.106, 0.038, 0.027, 0.283, 0.024, 0.022, 0.076, 0.154
256, 0.105, 0.039, 0.027, 0.282, 0.024, 0.021, 0.074, 0.143
256, 0.105, 0.039, 0.031, 0.282, 0.024, 0.022, 0.078, 0.146
256, 0.103, 0.039, 0.026, 0.280, 0.024, 0.021, 0.077, 0.150
256, 0.104, 0.039, 0.026, 0.281, 0.024, 0.021, 0.075, 0.152
256, 0.104, 0.035, 0.026, 0.281, 0.025, 0.021, 0.076, 0.145
256, 0.103, 0.035, 0.026, 0.283, 0.025, 0.021, 0.077, 0.143
256, 0.103, 0.039, 0.027, 0.280, 0.024, 0.020, 0.078, 0.145
256, 0.108, 0.040, 0.027, 0.298, 0.026, 0.022, 0.085, 0.157
256, 0.104, 0.039, 0.026, 0.281, 0.025, 0.023, 0.077, 0.144
256, 0.104, 0.039, 0.026, 0.283, 0.025, 0.022, 0.076, 0.156
256, 0.102, 0.039, 0.026, 0.280, 0.026, 0.022, 0.076, 0.143
256, 0.104, 0.038, 0.027, 0.282, 0.024, 0.022, 0.076, 0.146
256, 0.112, 0.039, 0.026, 0.284, 0.025, 0.022, 0.078, 0.145
256, 0.104, 0.039, 0.027, 0.282, 0.024, 0.022, 0.075, 0.144
512, 0.295, 0.115, 0.071, 1.234, 0.072, 0.063, 0.392, 0.476
512, 0.290, 0.113, 0.071, 1.075, 0.070, 0.062, 0.342, 0.417
512, 0.288, 0.113, 0.070, 1.108, 0.071, 0.062, 0.341, 0.428
512, 0.285, 0.114, 0.070, 1.091, 0.071, 0.062, 0.322, 0.416
512, 0.286, 0.116, 0.071, 1.077, 0.069, 0.062, 0.329, 0.426
512, 0.283, 0.117, 0.071, 1.076, 0.070, 0.062, 0.339, 0.417
512, 0.286, 0.113, 0.071, 1.091, 0.071, 0.069, 0.332, 0.424
512, 0.286, 0.112, 0.070, 1.095, 0.070, 0.061, 0.328, 0.428
512, 0.285, 0.118, 0.070, 1.106, 0.072, 0.062, 0.333, 0.417
512, 0.286, 0.113, 0.070, 1.082, 0.072, 0.062, 0.340, 0.426
512, 0.285, 0.117, 0.071, 1.103, 0.070, 0.061, 0.332, 0.427
512, 0.286, 0.116, 0.071, 1.128, 0.070, 0.063, 0.331, 0.428
512, 0.286, 0.113, 0.070, 1.123, 0.070, 0.063, 0.335, 0.422
512, 0.291, 0.115, 0.071, 1.176, 0.072, 0.062, 0.359, 0.454
512, 0.285, 0.113, 0.070, 1.195, 0.071, 0.062, 0.330, 0.413
512, 0.287, 0.117, 0.070, 1.079, 0.072, 0.061, 0.332, 0.416
512, 0.284, 0.112, 0.072, 1.073, 0.071, 0.062, 0.327, 0.411
512, 0.284, 0.113, 0.070, 1.072, 0.071, 0.062, 0.322, 0.415
512, 0.286, 0.123, 0.071, 1.082, 0.071, 0.062, 0.335, 0.413
512, 0.285, 0.113, 0.070, 1.077, 0.071, 0.061, 0.333, 0.423
512, 0.293, 0.117, 0.071, 1.082, 0.071, 0.062, 0.326, 0.420
512, 0.292, 0.113, 0.070, 1.109, 0.070, 0.062, 0.341, 0.415
512, 0.282, 0.114, 0.071, 1.130, 0.071, 0.060, 0.330, 0.430
512, 0.284, 0.113, 0.070, 1.092, 0.070, 0.062, 0.336, 0.423
512, 0.285, 0.113, 0.080, 1.074, 0.071, 0.063, 0.333, 0.413
512, 0.287, 0.117, 0.071, 1.076, 0.072, 0.061, 0.327, 0.415
512, 0.285, 0.116, 0.071, 1.100, 0.071, 0.062, 0.339, 0.414
512, 0.284, 0.117, 0.072, 1.086, 0.071, 0.065, 0.316, 0.423
512, 0.284, 0.117, 0.071, 1.069, 0.070, 0.062, 0.325, 0.413
512, 0.284, 0.113, 0.070, 1.086, 0.070, 0.061, 0.324, 0.421
1024, 0.987, 0.406, 0.235, 1.550, 0.263, 0.209, 1.219, 1.317
1024, 0.987, 0.406, 0.235, 1.531, 0.265, 0.209, 1.205, 1.334
1024, 0.988, 0.405, 0.236, 1.549, 0.264, 0.209, 1.229, 1.344
1024, 0.987, 0.407, 0.235, 1.534, 0.264, 0.208, 1.211, 1.344
1024, 0.989, 0.406, 0.236, 1.531, 0.263, 0.210, 1.216, 1.338
1024, 0.990, 0.407, 0.236, 1.539, 0.264, 0.210, 1.226, 1.326
1024, 0.995, 0.410, 0.236, 1.607, 0.264, 0.210, 1.343, 1.403
1024, 0.989, 0.408, 0.235, 1.562, 0.262, 0.211, 1.282, 1.339
1024, 0.996, 0.409, 0.236, 1.626, 0.263, 0.211, 1.337, 1.440
1024, 0.988, 0.407, 0.237, 1.550, 0.263, 0.208, 1.236, 1.335
1024, 0.995, 0.407, 0.236, 1.567, 0.263, 0.208, 1.213, 1.324
1024, 0.991, 0.409, 0.236, 1.634, 0.264, 0.210, 1.331, 1.446
1024, 0.992, 0.408, 0.235, 1.568, 0.263, 0.210, 1.228, 1.333
1024, 0.988, 0.405, 0.234, 1.575, 0.264, 0.210, 1.215, 1.330
1024, 0.993, 0.409, 0.236, 1.556, 0.263, 0.209, 1.214, 1.339
1024, 0.990, 0.407, 0.236, 1.547, 0.262, 0.209, 1.213, 1.324
1024, 0.987, 0.408, 0.235, 1.561, 0.264, 0.208, 1.231, 1.323
1024, 0.988, 0.407, 0.235, 1.541, 0.264, 0.210, 1.211, 1.326
1024, 0.988, 0.406, 0.236, 1.533, 0.263, 0.209, 1.217, 1.326
1024, 0.990, 0.406, 0.236, 1.559, 0.263, 0.210, 1.225, 1.329
1024, 0.989, 0.407, 0.237, 1.548, 0.263, 0.208, 1.242, 1.339
1024, 0.987, 0.406, 0.235, 1.535, 0.263, 0.208, 1.241, 1.335
1024, 0.988, 0.408, 0.236, 1.535, 0.268, 0.208, 1.214, 1.320
1024, 0.989, 0.406, 0.238, 1.568, 0.264, 0.210, 1.239, 1.327
1024, 0.988, 0.408, 0.234, 1.569, 0.262, 0.210, 1.234, 1.331
1024, 0.990, 0.407, 0.235, 1.540, 0.263, 0.208, 1.214, 1.330
1024, 0.993, 0.410, 0.236, 1.633, 0.263, 0.210, 1.342, 1.445
1024, 0.992, 0.407, 0.237, 1.585, 0.263, 0.209, 1.268, 1.377
1024, 0.987, 0.406, 0.236, 1.549, 0.263, 0.209, 1.210, 1.328
1024, 0.990, 0.406, 0.234, 1.541, 0.264, 0.208, 1.213, 1.332
2048, 3.785, 1.554, 0.839, 3.141, 1.028, 0.789, 4.459, 5.353
2048, 3.782, 1.551, 0.838, 3.101, 1.028, 0.786, 4.317, 4.931
2048, 3.781, 1.556, 0.838, 3.133, 1.027, 0.786, 4.353, 4.963
2048, 3.771, 1.551, 0.836, 3.131, 1.026, 0.789, 4.342, 4.914
2048, 3.778, 1.550, 0.838, 3.128, 1.028, 0.789, 4.365, 4.988
2048, 3.776, 1.554, 0.843, 3.128, 1.026, 0.786, 4.525, 4.921
2048, 3.784, 1.554, 0.839, 3.115, 1.029, 0.791, 4.355, 4.945
2048, 3.777, 1.553, 0.837, 3.096, 1.028, 0.788, 4.350, 4.943
2048, 3.780, 1.554, 0.838, 3.096, 1.027, 0.786, 4.425, 4.949
2048, 3.783, 1.557, 0.838, 3.093, 1.029, 0.790, 4.332, 4.918
2048, 3.781, 1.552, 0.838, 3.100, 1.029, 0.787, 4.377, 4.943
2048, 3.781, 1.552, 0.835, 3.116, 1.027, 0.789, 4.511, 4.918
2048, 3.780, 1.551, 0.836, 3.166, 1.027, 0.786, 5.152, 5.235
2048, 3.780, 1.553, 0.838, 3.120, 1.026, 0.790, 4.575, 4.917
2048, 3.784, 1.557, 0.839, 3.112, 1.027, 0.788, 4.494, 4.950
2048, 3.778, 1.550, 0.837, 3.111, 1.025, 0.786, 4.385, 4.922
2048, 3.779, 1.551, 0.837, 3.109, 1.028, 0.786, 4.521, 4.919
2048, 3.781, 1.554, 0.838, 3.095, 1.028, 0.786, 4.397, 5.040
2048, 3.781, 1.551, 0.836, 3.086, 1.027, 0.786, 4.388, 4.946
2048, 3.781, 1.555, 0.838, 3.126, 1.028, 0.787, 4.402, 4.951
2048, 3.775, 1.550, 0.838, 3.103, 1.027, 0.788, 4.415, 4.924
2048, 3.782, 1.553, 0.837, 3.097, 1.027, 0.788, 4.449, 4.932
2048, 3.779, 1.551, 0.836, 3.105, 1.025, 0.785, 4.369, 4.934
2048, 3.777, 1.550, 0.836, 3.134, 1.026, 0.789, 4.360, 4.925
2048, 3.773, 1.549, 0.835, 3.101, 1.024, 0.786, 4.351, 4.943
2048, 3.778, 1.553, 0.835, 3.108, 1.025, 0.788, 4.498, 4.911
2048, 3.784, 1.555, 0.838, 3.116, 1.027, 0.789, 4.509, 4.880
2048, 3.774, 1.551, 0.838, 3.103, 1.027, 0.788, 4.367, 4.934
2048, 3.777, 1.549, 0.838, 3.138, 1.028, 0.787, 4.391, 5.055
2048, 3.787, 1.570, 0.838, 3.192, 1.029, 0.788, 4.786, 5.365
4096, 15.005, 6.194, 3.510, 9.822, 4.182, 3.116, 16.763, 19.160
4096, 14.987, 6.180, 3.503, 9.828, 4.176, 3.114, 16.733, 19.051
4096, 14.983, 6.178, 3.500, 9.820, 4.171, 3.111, 16.781, 19.073
4096, 14.993, 6.194, 3.504, 9.833, 4.177, 3.114, 16.689, 19.137
4096, 14.998, 6.189, 3.505, 9.844, 4.178, 3.121, 16.783, 19.061
4096, 15.013, 6.186, 3.503, 9.810, 4.178, 3.112, 16.705, 19.057
4096, 14.984, 6.191, 3.506, 9.839, 4.181, 3.119, 16.951, 19.217
4096, 14.986, 6.178, 3.503, 9.814, 4.176, 3.110, 16.813, 19.095
4096, 15.010, 6.195, 3.505, 9.806, 4.184, 3.116, 16.666, 19.180
4096, 14.975, 6.185, 3.502, 9.912, 4.180, 3.116, 16.726, 19.093
4096, 15.009, 6.197, 3.511, 9.853, 4.184, 3.120, 16.882, 19.186
4096, 15.018, 6.193, 3.513, 9.847, 4.191, 3.121, 16.807, 19.104
4096, 14.995, 6.177, 3.505, 9.802, 4.179, 3.111, 16.832, 19.066
4096, 15.000, 6.182, 3.502, 9.804, 4.173, 3.110, 16.819, 18.911
4096, 15.017, 6.197, 3.514, 9.908, 4.183, 3.120, 17.735, 21.823
4096, 15.026, 6.204, 3.508, 9.838, 4.178, 3.119, 17.155, 19.406
4096, 15.044, 6.192, 3.513, 9.840, 4.183, 3.120, 16.747, 19.141
4096, 15.010, 6.196, 3.509, 9.829, 4.184, 3.115, 16.897, 19.134
4096, 15.020, 6.197, 3.511, 9.839, 4.179, 3.120, 16.712, 19.004
4096, 15.022, 6.188, 3.510, 9.779, 4.182, 3.117, 16.717, 19.065
4096, 14.997, 6.197, 3.505, 9.828, 4.180, 3.116, 16.755, 19.051
4096, 14.999, 6.183, 3.503, 9.838, 4.177, 3.118, 16.801, 19.132
4096, 15.008, 6.195, 3.510, 9.809, 4.185, 3.122, 16.927, 19.036
4096, 15.015, 6.189, 3.505, 9.810, 4.180, 3.116, 17.016, 19.167
4096, 15.013, 6.189, 3.509, 9.815, 4.181, 3.118, 16.829, 19.155
4096, 14.993, 6.184, 3.504, 9.836, 4.175, 3.112, 16.754, 18.951
4096, 14.998, 6.191, 3.504, 9.797, 4.180, 3.114, 16.692, 19.054
4096, 15.007, 6.196, 3.509, 9.815, 4.181, 3.117, 16.846, 19.291
4096, 15.006, 6.192, 3.506, 9.857, 4.179, 3.116, 16.936, 19.323
4096, 15.013, 6.192, 3.507, 9.799, 4.180, 3.117, 16.706, 18.898
8192, 89.206, 24.965, 13.375, 37.565, 14.001, 12.103, 66.653, 71.323
8192, 89.209, 24.976, 13.380, 37.560, 14.007, 12.133, 66.393, 70.968
8192, 89.227, 24.981, 13.376, 37.546, 14.772, 12.818, 66.987, 72.904
8192, 89.294, 23.637, 12.335, 37.114, 14.003, 11.941, 66.506, 73.569
8192, 89.128, 23.202, 12.339, 37.104, 13.994, 11.940, 66.708, 71.550
8192, 89.252, 24.983, 13.386, 37.384, 13.992, 11.937, 66.841, 71.970
8192, 89.151, 24.950, 13.387, 37.178, 13.987, 11.937, 66.654, 72.192
8192, 89.212, 24.941, 13.363, 37.420, 15.055, 12.796, 60.969, 68.616
8192, 89.166, 24.957, 13.382, 37.585, 15.011, 12.814, 61.488, 70.868
8192, 89.265, 24.932, 13.372, 37.470, 13.999, 14.361, 66.672, 73.219
8192, 89.253, 24.959, 13.367, 37.581, 15.066, 12.811, 69.518, 71.606
8192, 89.168, 24.944, 13.372, 37.508, 17.523, 12.814, 66.644, 71.309
8192, 89.359, 25.006, 13.393, 37.262, 14.004, 11.937, 66.352, 71.806
8192, 89.218, 24.983, 13.381, 37.592, 15.070, 12.817, 66.739, 71.306
8192, 89.212, 24.980, 13.383, 37.609, 14.002, 12.694, 66.626, 70.971
8192, 89.261, 24.939, 13.382, 37.631, 14.000, 12.101, 66.428, 71.714
8192, 89.245, 24.962, 13.371, 37.552, 14.732, 12.799, 66.623, 72.534
8192, 89.291, 24.974, 13.383, 37.274, 13.989, 11.938, 61.045, 71.362
8192, 89.257, 24.981, 13.380, 37.613, 14.967, 12.811, 66.375, 71.679
8192, 89.130, 24.902, 13.357, 37.139, 13.986, 11.935, 66.570, 71.631
8192, 89.220, 24.973, 13.376, 37.179, 13.997, 11.937, 66.569, 71.317
8192, 89.195, 24.945, 13.369, 37.288, 14.000, 11.935, 66.486, 71.677
8192, 89.293, 24.920, 13.373, 37.511, 15.048, 12.819, 60.787, 70.989
8192, 89.311, 24.944, 13.387, 37.632, 13.998, 12.593, 66.787, 71.245
8192, 89.173, 24.987, 13.378, 37.581, 14.754, 12.809, 67.047, 75.742
8192, 89.239, 24.778, 12.328, 37.194, 13.995, 11.935, 66.370, 72.368
8192, 89.141, 24.943, 13.373, 37.504, 15.046, 12.797, 66.734, 71.070
8192, 89.281, 24.963, 13.385, 37.389, 13.992, 11.937, 66.653, 71.725
8192, 89.185, 24.962, 13.376, 37.603, 15.050, 12.811, 66.776, 71.354
8192, 89.276, 24.946, 13.378, 37.521, 15.055, 12.816, 67.415, 72.746
10240, 348.467, 35.341, 15.967, 58.143, 20.610, 18.424, 104.232, 109.622
10240, 347.703, 35.338, 15.967, 58.004, 19.011, 16.954, 103.865, 110.829
10240, 348.493, 35.896, 15.971, 58.224, 20.603, 18.433, 103.895, 109.517
10240, 348.596, 35.324, 15.971, 58.216, 20.603, 18.425, 104.366, 108.341
10240, 347.430, 35.374, 15.970, 57.594, 19.029, 16.964, 103.897, 110.400
10240, 347.868, 35.391, 15.974, 58.192, 19.021, 17.746, 103.843, 109.752
10240, 347.730, 35.394, 15.965, 57.832, 19.025, 16.968, 103.810, 110.367
10240, 346.063, 33.628, 14.207, 57.419, 18.253, 16.269, 96.306, 108.396
10240, 348.472, 36.758, 15.975, 58.167, 20.599, 18.427, 104.295, 111.186
10240, 348.274, 36.222, 15.656, 57.833, 20.230, 18.065, 94.337, 109.955
10240, 348.617, 36.819, 15.969, 58.163, 20.605, 18.424, 95.741, 111.164
10240, 346.708, 32.736, 14.164, 57.332, 18.268, 16.265, 96.517, 109.878
10240, 347.818, 35.328, 15.969, 57.836, 19.033, 16.959, 104.028, 110.688
10240, 346.239, 34.502, 14.300, 57.303, 18.303, 16.302, 94.713, 109.744
10240, 347.635, 35.364, 15.973, 57.866, 19.022, 16.962, 103.716, 110.439
10240, 348.471, 35.310, 15.970, 58.165, 20.620, 18.419, 101.653, 110.195
10240, 347.691, 35.373, 15.971, 57.823, 19.026, 16.961, 103.165, 110.022
10240, 347.711, 35.338, 15.972, 57.657, 19.018, 16.951, 96.040, 111.207
10240, 347.362, 35.399, 15.938, 57.395, 19.026, 16.961, 103.785, 111.278
10240, 347.604, 35.386, 15.973, 57.666, 19.032, 16.965, 94.249, 111.095
10240, 347.579, 35.365, 15.973, 57.877, 19.041, 16.958, 94.769, 108.086
10240, 348.477, 35.372, 15.971, 58.140, 20.607, 18.424, 103.638, 109.061
10240, 348.459, 36.129, 15.977, 58.169, 20.609, 18.433, 104.131, 109.221
10240, 347.525, 35.388, 15.986, 57.588, 19.029, 16.963, 104.474, 113.717
10240, 348.517, 36.678, 15.976, 58.074, 20.619, 18.433, 104.103, 109.792
10240, 347.888, 35.433, 15.977, 57.796, 19.017, 16.955, 103.868, 111.883
10240, 347.710, 35.352, 15.970, 57.566, 19.020, 16.974, 104.081, 109.634
10240, 347.476, 35.370, 15.973, 62.968, 19.018, 16.963, 95.393, 110.071
10240, 347.736, 35.382, 15.966, 57.748, 19.021, 16.957, 104.052, 110.795
10240, 347.774, 35.373, 15.967, 57.567, 19.016, 16.966, 95.679, 108.933
